CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
19027,19027,19027,19027,19027,19027,19027,19027,19028,19028,19028,19028,,,,#SETTINGS,
21527,21527,21527,21527,21527,21527,21527,21527,21527,21527,21527,21528,,,,motor_type,INDUCTION
24027,24027,24027,24027,24027,24027,24027,24027,24027,24027,24027,24027,,,,sensor,inc_encoder
26527,26527,26527,26527,26527,26527,26527,26527,26527,26527,26527,26527,,,,motor_connection,DELTA
29027,29027,29027,29027,29027,29027,29027,29027,29027,29027,29027,29027,,,,sampling_timing,SYNC
31527,31527,31527,31527,31527,31527,31527,31527,31527,31527,31527,31527,,,,mode,FOC
34027,-31509,-31509,-31509,-31509,-31509,-31509,-31509,-31509,-31509,-31509,-31509,,,,sensored_control,ENABLED
36527,-29009,-29009,-29009,-29009,-29009,-29009,-29009,-29009,-29009,-29009,-29009,,,,Fs_trq,40
39027,-26509,-26509,-26509,-26509,-26509,-26509,-26509,-26509,-26509,-26509,-26509,,,,Fs_speed,5
41527,-24009,-24009,-24009,-24009,-24009,-24009,-24009,-24009,-24009,-24009,-24009,,,,Fswitching,20
44027,-21509,-21509,-21509,-21509,-21509,-21509,-21509,-21509,-21509,-21509,-21509,,,,zero_sequence,3RD_HARMONIC_INJ
46527,-19009,-19009,-19009,-19009,-19009,-19009,-19009,-19009,-19009,-19009,-19009,,,,Imax_ph,6.0
49027,-16509,-16509,-16509,-16509,-16509,-16509,-16509,-16509,-16509,-16509,-16509,,,,Inom_ph,6.0
51527,-14009,-14009,-14009,-14009,-14009,-14009,-14009,-14009,-14009,-14009,-14009,,,,I_o_ph,6.0
54027,-11509,-11509,-11509,-11509,-11509,-11509,-11509,-11509,-11509,-11509,-11509,,,,overload_interval,1.2400000095367432
56527,-9009,-9009,-9009,-9009,-9009,-9009,-9009,-9009,-9009,-9009,-9009,,,,overload_limiter,0.699999988079071
59027,-6509,-6509,-6509,-6509,-6509,-6509,-6509,-6509,-6509,-6509,-6509,,,,t_drop,1.7999999523162842
61527,-4009,-4009,-4009,-4009,-4009,-4009,-4009,-4009,-4009,-4009,-4009,,,,motor_temp_derate_thres,115.0
64027,-1509,-1509,-1509,-1509,-1509,-1509,-1509,-1509,-1509,-1509,-1509,,,,motor_temp_max_thres,140.0
991,991,991,991,991,991,991,991,991,991,991,991,,,,igbt_temp_derate_thres,55.0
3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,,,,igbt_temp_max_thres,80.0
5991,5991,5991,5991,5991,5991,5991,5991,5991,5991,5991,5991,,,,v_base,325.2691345214844
8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,8491,,,,I_base,5.0911688804626465
10991,10991,10991,10991,10991,10991,10991,10991,10991,10991,10991,10991,,,,no_load_rpm,1500
13491,13491,13491,13491,13491,13491,13491,13491,13491,13491,13491,13491,,,,nom_rpm,1500
15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,,,,max_rpm,2000
18491,18491,18491,18491,18491,18491,18491,18491,18491,18491,18491,18491,,,,min_rpm,-2000
20991,20991,20991,20991,20991,20991,20991,20991,20991,20991,20991,20991,,,,Rs,4.300000190734863
23491,23491,23491,23491,23491,23491,23491,23491,23491,23491,23491,23491,,,,Rr,2.299999952316284
25991,25991,25991,25991,25991,25991,25991,25991,25991,25991,25991,25991,,,,Lls,0.020800000056624413
28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,,,,Llr,0.020800000056624413
30991,30991,30991,30991,30991,30991,30991,30991,30991,30991,30991,30991,,,,Lm,0.3353999853134155
33491,-32045,-32045,-32045,-32045,-32045,-32045,-32045,-32045,-32045,-32045,-32045,,,,Lsig,0.041600000113248825
35991,-29545,-29545,-29545,-29545,-29545,-29545,-29545,-29545,-29545,-29545,-29545,,,,psi_nom,0.8899999856948853
38491,-27045,-27045,-27045,-27045,-27045,-27045,-27045,-27045,-27045,-27045,-27045,,,,psi_min,0.17800000309944153
40991,-24545,-24545,-24545,-24545,-24545,-24545,-24545,-24545,-24545,-24545,-24545,,,,J,0.10000000149011612
43491,-22045,-22045,-22045,-22045,-22045,-22045,-22045,-22045,-22045,-22045,-22045,,,,b,0.0
45991,-19545,-19545,-19545,-19545,-19545,-19545,-19545,-19545,-19545,-19545,-19545,,,,np,2.0
48491,-17045,-17045,-17045,-17045,-17045,-17045,-17045,-17045,-17045,-17045,-17045,,,,Ld,0.0005000000237487257
50991,-14545,-14545,-14545,-14545,-14545,-14545,-14545,-14545,-14545,-14545,-14545,,,,Lq,0.0005000000237487257
53491,-12045,-12045,-12045,-12045,-12045,-12045,-12045,-12045,-12045,-12045,-12045,,,,max_trq_num,21000
55991,-9545,-9545,-9545,-9545,-9545,-9545,-9545,-9545,-9545,-9545,-9545,,,,cc_trise,0.0020000000949949026
58491,-7045,-7045,-7045,-7045,-7045,-7045,-7045,-7045,-7045,-7045,-7045,,,,spdc_trise,0.10000000149011612
60991,-4545,-4545,-4545,-4545,-4545,-4545,-4545,-4545,-4545,-4545,-4545,,,,mcm_trise,0.05999999865889549
63491,-2045,-2045,-2045,-2045,-2045,-2045,-2045,-2045,-2045,-2045,-2045,,,,scvm_trise,0.05999999865889549
455,455,455,455,455,455,455,455,455,455,455,455,,,,fw_trise,0.019999999552965164
2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,,,,current_ramp_time,100.0
